Trait1	Trait2	TestControl	NetColoc	Parameter Tested	Bin Size	T	T*	Observed Size	Expected Size	log2COLOC Score	COLOC P	LenientOrStrict	SNP-to-Gene
EFO_0007117_GCST90092502	EFO_0007117_GCST90092502	Test	Quantitative(Q)	th	10	3	4	9	7.64	0.23635236318128847	0.6058	Lenient	S2G
EFO_0007117_GCST90092502	EFO_0007117_GCST90092502	Test	Quantitative(Q)	th	10	3.5	4	3	2.804	0.09747615137262	0.9052	Lenient	S2G
EFO_0007117_GCST90092502	EFO_0007117_GCST90092502	Test	Quantitative(Q)	th	10	4	4	2	1.039	0.9448043457578753	0.3325	Lenient	S2G
EFO_0009863_GCST007710	EFO_0009863_GCST007710	Test	Quantitative(Q)	bin	5	1	3	451	218.295	1.0468483473929755	5.335999999999999e-69	Lenient	S2G
EFO_0009863_GCST007710	EFO_0009863_GCST007710	Test	Quantitative(Q)	bin	10	1	3	467	226.319	1.045064842682638	2.266e-71	Lenient	S2G
EFO_0009863_GCST007710	EFO_0009863_GCST007710	Test	Quantitative(Q)	bin	20	1	3	397	208.517	0.9289739986820063	2.5329999999999997e-47	Lenient	S2G
EFO_0009863_GCST007710	EFO_0009863_GCST007710	Test	Quantitative(Q)	bin	40	1	3	270	173.516	0.6378907066837041	6.879e-16	Lenient	S2G
EFO_0009863_GCST007710	EFO_0009863_GCST007710	Test	Quantitative(Q)	bin	80	1	3	204	155.094	0.3954262771553296	2.034e-05	Lenient	S2G
EFO_0009863_GCST007710	EFO_0009863_GCST007710	Test	Quantitative(Q)	bin	160	1	3	233	169.866	0.45593284008605833	1.031e-07	Lenient	S2G
EFO_0009863_GCST007710	EFO_0009863_GCST007710	Test	Quantitative(Q)	th	10	1	1	860	469.132	0.8743427478387649	2.015999999999999e-101	Lenient	S2G
EFO_0009863_GCST007710	EFO_0009863_GCST007710	Test	Quantitative(Q)	th	10	1	1.5	814	430.01	0.9206585840194467	3.003999999999998e-104	Lenient	S2G
EFO_0009863_GCST007710	EFO_0009863_GCST007710	Test	Quantitative(Q)	th	10	1.5	1.5	318	160.783	0.9839118907853154	9.324e-41	Lenient	S2G
EFO_0009863_GCST007710	EFO_0009863_GCST007710	Test	Quantitative(Q)	th	10	1	2	718	360.196	0.9952016839374133	5.511999999999995e-102	Lenient	S2G
EFO_0009863_GCST007710	EFO_0009863_GCST007710	Test	Quantitative(Q)	th	10	1.5	2	318	161.019	0.9817958312786034	1.5359999999999998e-44	Lenient	S2G
EFO_0009863_GCST007710	EFO_0009863_GCST007710	Test	Quantitative(Q)	th	10	2	2	143	59.728	1.2595358281374067	1.9749999999999997e-28	Lenient	S2G
EFO_0009863_GCST007710	EFO_0009863_GCST007710	Test	Quantitative(Q)	th	10	1	2.5	589	292.289	1.0108720982544492	4.663999999999997e-91	Lenient	S2G
EFO_0009863_GCST007710	EFO_0009863_GCST007710	Test	Quantitative(Q)	th	10	1.5	2.5	312	159.099	0.9716212612977261	1.1849999999999999e-40	Lenient	S2G
EFO_0009863_GCST007710	EFO_0009863_GCST007710	Test	Quantitative(Q)	th	10	2	2.5	143	59.555	1.263720605801828	8.914000000000001e-35	Lenient	S2G
EFO_0009863_GCST007710	EFO_0009863_GCST007710	Test	Quantitative(Q)	th	10	2.5	2.5	50	19.987	1.3228661515653988	2.332e-12	Lenient	S2G
EFO_0009863_GCST007710	EFO_0009863_GCST007710	Test	Quantitative(Q)	th	10	1	3	468	234.851	0.9947627931771291	1.0759999999999998e-63	Lenient	S2G
EFO_0009863_GCST007710	EFO_0009863_GCST007710	Test	Quantitative(Q)	th	10	1.5	3	293	148.259	0.9827809790245873	6.081000000000001e-38	Lenient	S2G
EFO_0009863_GCST007710	EFO_0009863_GCST007710	Test	Quantitative(Q)	th	10	2	3	143	59.028	1.2765437809959923	3.977e-31	Lenient	S2G
EFO_0009863_GCST007710	EFO_0009863_GCST007710	Test	Quantitative(Q)	th	10	2.5	3	50	20.27	1.3025820060825506	3.317e-11	Lenient	S2G
EFO_0009863_GCST007710	EFO_0009863_GCST007710	Test	Quantitative(Q)	th	10	3	3	16	5.299	1.594279872618751	9.691e-07	Lenient	S2G
EFO_0009863_GCST007710	EFO_0009863_GCST007710	Test	Quantitative(Q)	th	10	1	3.5	374	185.901	1.008503739279075	2.4320000000000002e-55	Lenient	S2G
EFO_0009863_GCST007710	EFO_0009863_GCST007710	Test	Quantitative(Q)	th	10	1.5	3.5	265	131.284	1.0133012585798722	6.495000000000002e-35	Lenient	S2G
EFO_0009863_GCST007710	EFO_0009863_GCST007710	Test	Quantitative(Q)	th	10	2	3.5	143	59.319	1.2694489648537313	1.398e-31	Lenient	S2G
