GeneSet	Tissue	Log10PValue	Tissue.Specific.Genes	fold.change	samples	NotIdentifiedCount
36088354_EFO_0006925_GCST90019513_EFO_0006925	Placenta	5.33883498881817	43	2.22326868288407	8	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Prostate	0.687032234165591	16	1.53512678175644	9	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Rectum	0.164806810482559	11	1.21873532450456	4	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Salivary Gland	1.19546306848143e-09	4	0.85578906799066	3	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Seminal Vesicle	1.19546306848143e-09	8	0.86574010366497	3	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Skeletal Muscle	1.19546306848143e-09	8	0.461013305976392	5	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Skin	0.00710192687898197	25	1.01159849069548	3	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Small Intestine	23.1051710614917	73	3.99640909618285	4	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Smooth Muscle	1.19546306848143e-09	3	0.627418389734725	3	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Spleen	1.19546306848143e-09	11	0.671303391858247	5	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Stomach	1.19546306848143e-09	7	0.794474912204743	4	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Testis	1.19546306848143e-09	62	0.541544607313658	10	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Thyroid Gland	0.36782733632423	18	1.29359621667314	5	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Tonsil	1.19546306848143e-09	3	0.317274072081764	5	0
36088354_EFO_0006925_GCST90019513_EFO_0006925	Urinary Bladder	0.475063633999131	6	1.8012979576255	2	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Adipose Tissue	18.0755553554616	50	4.37424677852971	5	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Adrenal Gland	0.75693905979885	24	1.3361335614418	3	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Appendix	4.22255950382509e-10	4	0.314750270991412	3	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Bone Marrow	0.772295783121538	27	1.32507670705705	4	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Breast	0.912187557686228	15	1.56500829187396	4	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Cerebral Cortex	4.22255950382509e-10	65	0.624935051703938	3	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Cervix, uterine	0.44587313756567	14	1.28046132971506	2	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Colon	5.05934955304135	29	2.60170168266946	13	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Duodenum	36.2998078124547	99	4.38497606308082	2	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Endometrium	4.22255950382509e-10	5	0.601926266105371	5	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Esophagus	0.0202635041418529	16	0.897853362668728	3	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Fallopian Tube	4.22255950382509e-10	14	0.449182334341958	5	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Gallbladder	2.74330148131613	22	2.1518864013267	3	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Heart Muscle	0.0202635041418529	13	0.901999852951989	4	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Kidney	14.2807049297493	69	2.88388768324549	9	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Liver	188.794624129388	258	8.61125415576148	10	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Lung	1.60121790568257	22	1.70259143841233	9	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Lymph Node	4.22255950382509e-10	10	0.55893153281213	5	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Ovary	0.0722950255909382	9	0.9751205510907	3	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Pancreas	8.47896015464572	23	4.43776323860151	2	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Placenta	2.5203525597526	42	1.64325870646766	8	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Prostate	0.565124309313079	18	1.30686259424527	9	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Rectum	4.97631139195305	30	2.51519189765458	4	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Salivary Gland	2.8424127456482	16	2.59035855206725	3	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Seminal Vesicle	0.0722950255909382	12	0.982679625130163	3	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Skeletal Muscle	4.22255950382509e-10	15	0.654105632826579	5	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Skin	1.0385339923513	43	1.31664828033744	3	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Small Intestine	38.8401502871507	106	4.39122914837577	4	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Smooth Muscle	4.22255950382509e-10	2	0.316518530940802	3	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Spleen	0.259918297869391	24	1.10833374113041	5	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Stomach	2.74330148131613	24	2.06123043319985	4	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Testis	4.22255950382509e-10	89	0.588255111117337	10	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Thyroid Gland	1.60121790568257	29	1.57709329798882	5	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Tonsil	4.22255950382509e-10	7	0.560201831750339	5	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Urinary Bladder	0.143138142650857	5	1.13589311506981	2	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Adipose Tissue	0.4046539262164	11	1.41240739354935	5	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Adrenal Gland	0.271528178732717	15	1.2256427795263	3	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Appendix	0	3	0.346466618123076	3	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Bone Marrow	0.0965363822714069	14	1.00841503486229	4	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Breast	3.79989123114546	19	2.90946411910267	4	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Cerebral Cortex	0	38	0.53621523014179	3	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Cervix, uterine	0.194212342316472	9	1.20813359696164	2	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Colon	5.99858430508961	25	3.29180067112689	13	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Duodenum	23.339071064363	67	4.35552846032501	2	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Endometrium	0	4	0.706752417595791	5	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Esophagus	0.00724572875646156	11	0.905966495463927	3	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Fallopian Tube	0	15	0.706349938998071	5	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Gallbladder	3.47432343006316	19	2.72762261165876	3	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Heart Muscle	0.141143009705165	11	1.12018517419431	4	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Kidney	88.0728917158836	136	8.34261459108622	9	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Liver	62.4163923300704	125	6.12337328633794	10	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Lung	0.962819494422793	15	1.70377814956128	9	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Lymph Node	0	1	0.0820337627566543	5	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Ovary	0	2	0.318038587918106	3	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Pancreas	0.111596413576194	4	1.13274017614668	2	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Placenta	0.541970518615904	23	1.32074358038213	8	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Prostate	0.550391518034595	14	1.49183048971895	9	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Rectum	3.0929524502738	20	2.46101288269963	4	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Salivary Gland	0.141143009705165	5	1.18807518475155	3	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Seminal Vesicle	0.194212342316472	10	1.20189001248121	3	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Skeletal Muscle	0	10	0.640015734200523	5	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Skin	0.271528178732717	26	1.16844611648174	3	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Small Intestine	30.6407488870929	79	4.80331808517492	4	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Smooth Muscle	0	0	0	3	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Spleen	0	5	0.338893577289785	5	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Stomach	0.541970518615904	12	1.51262255229343	4	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Testis	0	73	0.708161942595689	10	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Thyroid Gland	0.111596413576194	13	1.03761624243552	5	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Tonsil	0	1	0.117457433037937	5	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Urinary Bladder	0.962819494422793	7	2.33399286294739	2	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Adipose Tissue	1.02378210591277	15	1.73246030046201	5	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Adrenal Gland	0.0175014334417477	12	0.881979789326116	3	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Appendix	0.00152736302203369	4	0.415532377466494	3	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Bone Marrow	22.8338504213923	67	4.34101028132027	4	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Breast	0.00152736302203369	4	0.550965152344463	4	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Cerebral Cortex	0.00152736302203369	59	0.748880108946015	3	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Cervix, uterine	0.0458290160253807	8	0.965977864500032	2	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Colon	1.06462610419686	15	1.77659941639735	13	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Duodenum	2.14037187934941	31	1.81272732905784	2	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Endometrium	0.111660944596878	7	1.11252578838786	5	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Esophagus	0.00152736302203369	6	0.444503758365553	3	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Fallopian Tube	0.00152736302203369	15	0.63536698946329	5	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Gallbladder	0.00152736302203369	6	0.774794745484401	3	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Heart Muscle	1.17144299181371	19	1.74042563517678	4	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Kidney	5.21888714445426	42	2.31748695385245	9	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Liver	2.48721428166261	40	1.76256624565172	10	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Lung	0.0235074120613272	9	0.919536621014454	9	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Lymph Node	0.00152736302203369	9	0.664109781843772	5	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Ovary	0.609563909270639	11	1.5734293292914	3	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Pancreas	0.0458290160253807	4	1.01890815844524	2	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Placenta	3.51861857344141	39	2.01446633825944	8	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Prostate	0.241514559062017	13	1.24606165253161	9	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Rectum	0.923693476760695	15	1.66027445460943	4	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Salivary Gland	1.09914410534992	10	2.13736481512938	3	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Seminal Vesicle	0.179930507580301	11	1.18921984190629	3	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Skeletal Muscle	0.698714827560428	24	1.38167731702481	5	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Skin	0.0458290160253807	24	0.970177768258728	3	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Small Intestine	2.04587151336526	32	1.75012460156476	4	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Smooth Muscle	0.0175014334417477	4	0.835733658050589	3	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Spleen	0.20259125551651	19	1.1583816522652	5	0
