Mapped Trait	Mapped EFO	Study Identifier	Variant Type	Trait Type	Biological Domain	Set	Reported Trait	Trait Cosine Similarity	Population Cohort	Population Sample Size	PUBMED ID	Gene Count	Gene List	SynIntol	LOEUF	Length	nGO	sHet	mrna	n_mrna	CDS	ExpLoF	PhyloP
cholesteryl esters to total lipids in very large VLDL percentage	EFO_0022258	GCST90269683	Common	Continuous	Lipid Measurement	Initial	Cholesteryl esters to total lipids in very large VLDL percentage (UKB data field 23586)	0.9627603	UKB	87620.0	36764567	22	348,8882,4023,51085,2646,255738,28,51129,350,1952,85440,23460,4018,22837,221037,3949,8854,146894,80790,1374,6580,10221	-0.040711500000000005	1.0579999999999998	43574.0	20.5	0.00816304	13.078077675925925	49.5	1775.0	60.332499999999996	1.0095
cholesteryl esters to total lipids in medium HDL percentage	EFO_0022251	GCST90269738	Common	Continuous	Lipid Measurement	Initial	Cholesteryl esters to total lipids in medium HDL percentage (UKB data field 23641)	0.9625727	UKB	88329.0	36764567	23	8882,4023,8854,51129,85440,51085,7158,4018,146894,22837,4299,84166,5340,57794,10726,10351,4775,144347,80790,5819,84870,3626,5049	0.25463	0.664	80810.0	17.0	0.0265279	13.120146296296296	52.0	1528.0	66.434	1.026
cholesteryl esters to total lipids in very small VLDL percentage	EFO_0022259	GCST90269703	Common	Continuous	Lipid Measurement	Initial	Cholesteryl esters to total lipids in very small VLDL percentage (UKB data field 23606)	0.96193784	UKB	88329.0	36764567	28	5819,4059,8882,4023,51085,9415,63935,338,2590,146894,8854,57678,23460,64757,10087,22837,80790,28,29958,7423,10221,64241,6804,10726,84870,85440,7772,3083	-0.34147000000000005	0.7829999999999999	44840.5	17.0	0.020184050000000002	12.191103741666666	52.5	1694.0	55.107	1.03685
cholesteryl esters to total lipids in very large HDL percentage	EFO_0022257	GCST90269728	Common	Continuous	Lipid Measurement	Initial	Cholesteryl esters to total lipids in very large HDL percentage (UKB data field 23631)	0.96081555	UKB	88307.0	36764567	12	348,8854,1952,85440,4018,5819,3931,146894,84166,55167,5049,9415	-0.13035000000000002	0.616	45686.0	20.0	0.05450085	13.610495453703706	53.0	1487.0	55.4495	1.0196
cholesteryl esters to total lipids in large VLDL percentage	EFO_0022250	GCST90269688	Common	Continuous	Lipid Measurement	Initial	Cholesteryl esters to total lipids in large VLDL percentage (UKB data field 23591)	0.958979	UKB	88321.0	36764567	16	8854,8882,2646,51085,255738,4023,23460,350,4018,3117,221037,5265,89894,6580,80339,22837	0.06734485	1.1175	42594.0	24.5	0.001925145	10.623640862037039	44.0	1496.0	52.415	0.949
cholesteryl esters to total lipids in IDL percentage	EFO_0022247	GCST90269708	Common	Continuous	Lipid Measurement	Initial	Cholesteryl esters to total lipids in IDL percentage (UKB data field 23611)	0.95818067	UKB	88329.0	36764567	24	8854,5819,4023,338,8882,51085,51129,7158,2646,2590,5971,57678,746,146894,255738,9388,64757,9159,29956,4018,23499,80790,22837,8289	-0.201025	0.7809999999999999	40565.0	24.5	0.019448800000000002	13.59699611111111	52.5	1725.5	56.051	1.026
cholesteryl esters to total lipids in small VLDL percentage	EFO_0022256	GCST90269698	Common	Continuous	Lipid Measurement	Initial	Cholesteryl esters to total lipids in small VLDL percentage (UKB data field 23601)	0.95705485	UKB	88329.0	36764567	22	348,8882,255738,4018,51085,1952,23460,28,2646,350,221037,146894,85440,8854,3949,64241,158219,3123,5265,9919,6484,89894	0.03160835	1.1175	44032.5	20.0	0.00576726	12.149035121296297	49.5	1662.0	57.2375	0.9464583333333334
clostridium difficile infection	EFO_0009130	GCST90474667	Common	Categorical	Infection	Initial	Clostridioides difficle infection	0.955361	MGI|UKB|FinnGen	677823.0	39436105	17	3106,7407,23254,57819,3119,80739,100507679,6499,50854,3117,80736,199,84666,7916,84570,7917,7920	0.358525	0.9690000000000001	15854.0	10.0	0.00596113	33.60812070925925	53.0	1507.5	52.680499999999995	1.018
type 1 diabetes mellitus	MONDO_0005147	GCST90018925	Common	Categorical	Endocrine	Initial	Type 1 diabetes	0.9534395	BBJ|UKB|FinnGen	590946.0	34594039	4	6934,60468,79068,3559	0.081475	0.69	293873.0	25.0	0.08303115	4.028550916666666	46.0	1233.0	61.45	1.0331875
free cholesterol to total lipids in medium VLDL percentage	EFO_0022284	GCST90269694	Common	Continuous	Lipid Measurement	Initial	Free cholesterol to total lipids in medium VLDL percentage (UKB data field 23597)	0.9501047	UKB	88329.0	36764567	25	5819,10452,8882,4023,51085,4018,8854,2646,1952,28,23460,146894,350,7158,221037,23387,64241,3117,85440,22837,80790,3949,6311,6002,255738	-0.041941	0.815	51046.0	20.0	0.01960835	13.140560666666662	50.0	2105.0	69.062	1.025
triglycerides to total lipids in medium VLDL percentage	EFO_0022335	GCST90269695	Common	Continuous	Lipid Measurement	Initial	Triglycerides to total lipids in medium VLDL percentage (UKB data field 23598)	0.94852626	UKB	88329.0	36764567	28	4059,10452,8882,4023,51085,2646,8854,1952,23460,63925,28,146894,5819,7158,350,221037,85440,22837,3117,80790,64240,84310,84106,10963,29958,6002,84870,5340	-0.14251000000000003	0.7829999999999999	43770.0	17.0	0.0181717	13.130353481481478	49.5	1749.5	64.2465	1.0255
cataract	MONDO_0005129	GCST90018814	Common	Categorical	Opthamological	Initial	Cataracts	0.94764096	BBJ|UKB|FinnGen	670603.0	34594039	15	57419,8476,51272,8924,840,55666,168850,11060,326625,182,651,54897,7299,11124,84293	0.33045	0.464	91578.0	19.0	0.067867	14.848694074074071	54.0	1795.0	53.605	1.0885
type 2 diabetes mellitus	MONDO_0005148	GCST90018926	Common	Categorical	Endocrine	Initial	Type 2 diabetes	0.9474359	BBJ|UKB|FinnGen	667504.0	34594039	106	6934,3784,54901,5078,10644,79068,169026,6928,26086,3118,286,7325,2646,58516,57178,116985,22837,221895,3767,5468,92070,111,6239,9861,2740,162515,6480,6049,26053,9690,23456,23140,100505573,5066,5184,63892,55054,596,9671,595,54939,55930,84159,222234,28,7021,56850,221037,2264,4763,2330,22866,10087,80790,57794,10075,2139,2645,57666,2113,26,5738,3097,6344,83938,55779,28231,9439,253782,256815,4853,9866,56171,23017,6599,6506,56172,137682,23211,10198,84561,54622,26122,846,1756,90576,55534,79966,133418,26207,10043,6660,8633,6581,79823,4137,92017,23139,57497,374378,8379,7145,23142,27145,9846,2813	0.083924	0.697	144383.0	15.0	0.03522235	10.817670370370372	53.0	1674.0	59.318	1.062
triglycerides to total lipids in large VLDL percentage	EFO_0022332	GCST90269690	Common	Continuous	Lipid Measurement	Initial	Triglycerides to total lipids in large VLDL percentage (UKB data field 23593)	0.9467538	UKB	88321.0	36764567	17	8854,4018,338,28,255738,348,23460,84166,350,6484,3119,80339,5265,6581,4023,25959,6560	-0.29012	1.134	42746.0	24.0	0.005135465	19.64230615	48.0	1446.0	49.467	0.932
free cholesterol to total lipids in large VLDL percentage	EFO_0022281	GCST90269689	Common	Continuous	Lipid Measurement	Initial	Free cholesterol to total lipids in large VLDL percentage (UKB data field 23592)	0.9460358	UKB	88321.0	36764567	18	8854,63935,348,28,4018,84166,255738,350,23460,6484,4023,3119,2590,9919,9415,6560,949,9388	-0.081105	0.8565	53842.5	21.0	0.00980722	25.941957037037028	52.5	1471.0	60.0085	1.0106000000000002
total lipids in very small VLDL measurement	EFO_0022156	GCST90302156	Common	Continuous	Lipid Measurement	Initial	Total lipids in very small VLDL	0.94537234	Multiple	136016.0	38448586	29	348,255738,338,8882,53345,85440,2646,4023,64241,3482,8701,29881,9785,23460,126695,388323,7227,51129,6484,28983,84310,675,55219,350,51085,6514,4299,54899,22864	0.27523	0.884	50141.0	17.0	0.00710639	11.262061187037038	47.0	1878.0	58.606	1.015
triglycerides in medium LDL measurement	EFO_0022322	GCST90302053	Common	Continuous	Lipid Measurement	Initial	Triglycerides in medium LDL	0.94502234	Multiple	136016.0	38448586	25	348,8882,255738,388323,85440,53345,19,84310,3156,8701,3502,6927,5265,144108,3482,28983,4299,158219,126695,350,7227,64241,55219,6514,675	0.23351	0.8365	47316.5	19.0	0.00671012	8.21032074074074	50.0	1654.0	60.055	1.026
free cholesterol to total lipids in very small VLDL percentage	EFO_0022290	GCST90269704	Common	Continuous	Lipid Measurement	Initial	Free cholesterol to total lipids in very small VLDL percentage (UKB data field 23607)	0.9449723	UKB	88329.0	36764567	20	348,746,8882,51085,255738,1952,8854,2646,4023,85440,4018,338,28,23460,7158,23042,64241,3949,3117,5340	0.062289	1.0579999999999998	43574.0	27.5	0.00711447	12.149035121296297	46.5	2028.0	71.10900000000001	0.9941249999999999
total lipids in medium HDL measurement	EFO_0022310	GCST90302037	Common	Continuous	Lipid Measurement	Initial	Total lipids in medium HDL	0.9449699	Multiple	136016.0	38448586	18	63925,348,4023,8854,2590,405,146894,27232,1952,64757,338,23499,57678,7332,64771,64283,949,57610	-0.15006	0.6455	66268.5	22.0	0.0221829	16.216978055555558	53.5	1606.0	58.89	1.1280000000000001
triglycerides to total lipids in medium LDL percentage	EFO_0022334	GCST90269720	Common	Continuous	Lipid Measurement	Initial	Triglycerides to total lipids in medium LDL percentage (UKB data field 23623)	0.94474745	UKB	88329.0	36764567	19	4059,5819,8854,8882,4023,746,2646,51085,255738,7158,4018,28,1952,221037,23460,64241,2590,146894,6584	-0.13786	1.041	42746.0	20.0	0.00692462	13.120146296296296	49.0	1827.0	62.059	1.026
free cholesterol to total lipids in very large VLDL percentage	EFO_0022289	GCST90269684	Common	Continuous	Lipid Measurement	Initial	Free cholesterol to total lipids in very large VLDL percentage (UKB data field 23587)	0.94472384	UKB	87620.0	36764567	12	4018,8854,2646,51085,8882,255738,4023,28,350,5265,6002,221037	-0.08885515	1.1044999999999998	43619.0	24.0	0.00576726	13.130353481481478	43.5	1662.0	56.3685	0.9835
triglycerides to total lipids in very small VLDL percentage	EFO_0022341	GCST90269705	Common	Continuous	Lipid Measurement	Initial	Triglycerides to total lipids in very small VLDL percentage (UKB data field 23608)	0.9446007	UKB	88329.0	36764567	31	5819,4059,8882,4023,51085,2646,63935,255738,7158,4018,221037,8854,146894,10087,2590,1952,28,80790,57678,85440,22837,64241,64757,29958,10963,10221,84106,3083,5340,6804,84870	-0.33578	0.751	43048.0	17.0	0.0203032	9.98522053703704	50.0	1827.0	62.059	1.026
triglycerides to total lipids in very large VLDL percentage	EFO_0022340	GCST90269685	Common	Continuous	Lipid Measurement	Initial	Triglycerides to total lipids in very large VLDL percentage (UKB data field 23588)	0.9444227	UKB	87620.0	36764567	16	348,4018,8882,2646,51085,255738,8854,28,23460,350,3117,221037,80790,22837,63935,1374	-0.11844	0.9624999999999999	43619.0	19.5	0.00980722	13.59699611111111	46.5	1881.0	64.2465	0.973
free cholesterol to total lipids in medium HDL percentage	EFO_0022282	GCST90269739	Common	Continuous	Lipid Measurement	Initial	Free cholesterol to total lipids in medium HDL percentage (UKB data field 23642)	0.9436853	UKB	88329.0	36764567	24	8854,4023,9688,51129,8882,146894,158219,949,57678,8567,19,64116,2590,51085,3931,345,64757,22837,84310,728780,1952,1071,7227,80790	-0.14111	0.736	68066.5	18.5	0.01736275	12.523477787037038	52.0	1437.0	55.795	1.026
free cholesterol to total lipids in large HDL percentage	EFO_0022279	GCST90269734	Common	Continuous	Lipid Measurement	Initial	Free cholesterol to total lipids in large HDL percentage (UKB data field 23637)	0.9435158	UKB	88329.0	36764567	21	5360,10452,4059,8854,1952,51085,8882,255738,4023,2646,5819,3156,23460,146894,64241,57678,949,3083,5468,85363,90634	-0.13786	0.918	27672.0	26.0	0.00816304	13.036009055555557	50.0	1528.0	55.721	1.026
cholesterol to total lipids in medium VLDL percentage	EFO_0022239	GCST90269692	Common	Continuous	Lipid Measurement	Initial	Cholesterol to total lipids in medium VLDL percentage (UKB data field 23595)	0.94330055	UKB	88329.0	36764567	27	5819,10452,8882,4023,4018,2646,63925,23460,28,146894,8854,7158,85440,350,221037,22837,80790,84106,2590,10963,5340,29958,6002,10221,84310,84870,64240	-0.14716	0.751	63193.0	17.0	0.0186399	13.120146296296296	52.0	1672.0	62.059	1.026
triglycerides to total lipids in small VLDL percentage	EFO_0022338	GCST90269700	Common	Continuous	Lipid Measurement	Initial	Triglycerides to total lipids in small VLDL percentage (UKB data field 23603)	0.94317067	UKB	88329.0	36764567	21	4059,5819,51085,255738,4018,2646,1952,9415,23460,28,146894,85440,221037,350,64241,3117,10452,80790,3949,29958,7423	-0.13786	1.091	43048.0	17.0	0.004765195	14.073845925925925	47.0	1878.0	68.517	1.008
triglycerides to total lipids in very large HDL percentage	EFO_0022339	GCST90269730	Common	Continuous	Lipid Measurement	Initial	Triglycerides to total lipids in very large HDL percentage (UKB data field 23633)	0.9431566	UKB	88307.0	36764567	22	8882,2646,9415,51129,85440,4018,22837,146894,4023,7158,2590,3083,5340,80790,57794,6804,144347,5819,4299,221037,2186,3626	0.26161500000000004	0.63	69958.0	16.5	0.03365105	14.745761111111108	53.0	1694.0	63.9225	1.026
triglycerides in IDL measurement	EFO_0022149	GCST90301985	Common	Continuous	Lipid Measurement	Initial	Triglycerides in IDL	0.94296503	Multiple	136016.0	38448586	26	8882,348,2646,1952,255738,388323,85440,53345,1071,84310,51129,4299,51085,3482,8701,126695,7227,28983,6514,144108,8435,675,350,2621,23224,55219	0.20156999999999997	0.871	30872.5	19.5	0.00671012	8.823127876851853	48.0	1766.0	64.7445	0.988
triglycerides in very small VLDL measurement	EFO_0022144	GCST90302160	Common	Continuous	Lipid Measurement	Initial	Triglycerides in very small VLDL	0.94223106	Multiple	136016.0	38448586	25	8882,2646,338,51129,85440,53345,6597,388323,146894,2590,4299,3482,255738,126695,1643,2621,221035,84870,7227,5265,5184,196,10599,5140,201625	0.092531	0.815	80810.0	17.0	0.0126947	8.804399529629633	51.0	1878.0	54.131	1.011
triglycerides to total lipids in medium HDL percentage	EFO_0022333	GCST90269740	Common	Continuous	Lipid Measurement	Initial	Triglycerides to total lipids in medium HDL percentage (UKB data field 23643)	0.94196904	UKB	88329.0	36764567	23	8882,51129,85440,2646,51085,9415,146894,4023,7158,84166,22837,4299,8854,2590,80790,84870,10726,144347,10351,5819,3626,10062,57794	0.2686	0.658	74374.0	17.0	0.0265279	15.43998074074074	52.0	1528.0	61.411	1.026
triglycerides to total lipids in IDL percentage	EFO_0022329	GCST90269710	Common	Continuous	Lipid Measurement	Initial	Triglycerides to total lipids in IDL percentage (UKB data field 23613)	0.941885	UKB	88329.0	36764567	29	5819,4059,8854,8882,4023,9415,51085,2646,7158,51129,255738,221037,3949,146894,4018,2590,10087,57678,1952,22837,80790,28,64757,85440,29958,64241,23460,10221,7423	-0.33578	0.884	51046.0	20.0	0.01277422	13.120146296296296	52.0	1827.0	62.059	1.026
non-Hodgkins lymphoma	EFO_0005952	GCST90011819	Common	Categorical	Neoplasm	Initial	Non-Hodgkin's lymphoma	0.9414314	UKB|GERA	412750.0	32887889	3	54535,81696,50863	0.78949	0.954	78218.0	5.0	0.00243776	9.715105368518518	36.0	966.0	42.044	0.92925
free cholesterol to total lipids in small VLDL percentage	EFO_0022287	GCST90269699	Common	Continuous	Lipid Measurement	Initial	Free cholesterol to total lipids in small VLDL percentage (UKB data field 23602)	0.94142765	UKB	88329.0	36764567	27	5819,4059,8882,4023,51085,9415,255738,2646,1952,7158,146894,63935,28,85440,221037,80790,22837,8854,84106,64241,7423,5340,29958,10452,2590,10221,350	-0.14716	0.815	43048.0	20.0	0.030207750000000002	14.073845925925925	52.0	1716.0	62.059	1.026
triglycerides to total lipids in large HDL percentage	EFO_0022330	GCST90269735	Common	Continuous	Lipid Measurement	Initial	Triglycerides to total lipids in large HDL percentage (UKB data field 23638)	0.94114196	UKB	88329.0	36764567	21	8882,4023,51129,9415,2646,51085,338,85440,146894,22837,7158,80790,4299,144347,2590,8289,3931,8567,6804,3626,6002	0.25463	0.664	65542.0	17.0	0.0265279	15.43998074074074	53.0	1716.0	66.434	1.026
triglycerides in small LDL measurement	EFO_0022323	GCST90302101	Common	Continuous	Lipid Measurement	Initial	Triglycerides in small LDL	0.9402733	Multiple	136016.0	38448586	25	8882,348,2646,85440,53345,255738,9031,3502,51129,3156,3482,5265,4299,28983,8701,126695,2621,144108,55219,7227,64241,7018,10599,158219,29881	0.0954805	0.873	46834.0	17.0	0.00778724	9.435935012962965	50.0	2037.0	65.27	1.011
free cholesterol to total lipids in medium LDL percentage	EFO_0022283	GCST90269719	Common	Continuous	Lipid Measurement	Initial	Free cholesterol to total lipids in medium LDL percentage (UKB data field 23622)	0.9401617	UKB	88329.0	36764567	25	8882,5819,10452,4023,2646,4018,51085,51129,8854,7158,22837,146894,221037,63935,5340,4299,2590,57794,84870,80790,29958,3083,9230,7423,10726	-0.34716	0.658	46633.0	17.0	0.0391555	16.596672407407407	53.0	1672.0	62.059	1.0382
total lipids in very large VLDL measurement	EFO_0022313	GCST90302144	Common	Continuous	Lipid Measurement	Initial	Total lipids in very large VLDL	0.93986654	Multiple	136016.0	38448586	16	8882,2646,4018,51085,53345,85440,146894,26762,3107,2590,4299,221035,286046,201625,3308,54622	-0.279565	0.9235	79081.5	10.0	0.007585725	8.157094401851852	50.0	1548.0	52.415	1.009
total lipids in small HDL measurement	EFO_0022311	GCST90302085	Common	Continuous	Lipid Measurement	Initial	Total lipids in small HDL	0.9392459	Multiple	136016.0	38448586	6	2646,1742,405,85440,3083,57572	0.661715	0.7105	47939.0	18.5	0.027144775000000003	13.961960055555558	53.0	2162.0	94.494	1.08
free cholesterol in medium VLDL measurement	EFO_0022269	GCST90302061	Common	Continuous	Lipid Measurement	Initial	Free cholesterol in medium VLDL	0.9390191	Multiple	136016.0	38448586	22	8882,2646,53345,4018,146894,2590,3107,22837,4299,6597,221035,8567,286046,126695,201625,84870,196,5184,5360,54622,144347,64241	0.077791	0.895	111110.5	14.0	0.014064545	9.650770453703705	53.0	1360.5	52.415	1.026
free cholesterol in medium HDL measurement	EFO_0022267	GCST90302035	Common	Continuous	Lipid Measurement	Initial	Free cholesterol in medium HDL	0.9389955	Multiple	136016.0	38448586	21	4023,63935,9388,8854,348,2590,85440,146894,51129,405,338,64757,9415,2646,57678,23499,64771,27232,7332,57610,949	0.27523	0.581	65542.0	20.0	0.0261941	22.49281611111111	53.0	1446.0	53.863	1.129
total lipids in very large HDL measurement	EFO_0022312	GCST90302132	Common	Continuous	Lipid Measurement	Initial	Total lipids in very large HDL	0.93895876	Multiple	136016.0	38448586	43	9415,8882,9388,19,146894,51085,51129,338,2590,10062,949,57610,22837,57678,57572,9103,23495,2646,64757,10019,348,64116,64241,7332,255738,1374,158219,4018,84310,84870,23161,221035,1615,220972,54887,83892,1810,7227,5468,6484,5879,127,5184	0.225505	0.7885	74480.5	17.0	0.0165557	12.565546407407407	53.0	1379.0	49.339	1.026
triglycerides to total lipids in small LDL percentage	EFO_0022337	GCST90269725	Common	Continuous	Lipid Measurement	Initial	Triglycerides to total lipids in small LDL percentage (UKB data field 23628)	0.93887246	UKB	88329.0	36764567	24	5819,4059,4023,8854,4018,51085,9415,51129,85440,7158,1952,221037,146894,22837,3949,28,5340,10221,80790,23460,2590,29958,4299,5331	-0.24716000000000002	0.661	64367.5	17.0	0.0407742	16.018326574074074	52.5	2067.5	75.45349999999999	1.01235
free cholesterol to total lipids in small LDL percentage	EFO_0022286	GCST90269724	Common	Continuous	Lipid Measurement	Initial	Free cholesterol to total lipids in small LDL percentage (UKB data field 23627)	0.9383524	UKB	88329.0	36764567	19	5819,4059,8882,4023,4018,8854,2646,85440,51085,9415,51129,146894,22837,1952,5340,4299,221037,7772,2590	-0.13786	0.664	51903.0	17.0	0.030207750000000002	13.120146296296296	52.0	1827.0	66.434	1.011
free cholesterol to total lipids in IDL percentage	EFO_0022278	GCST90269709	Common	Continuous	Lipid Measurement	Initial	Free cholesterol to total lipids in IDL percentage (UKB data field 23612)	0.9375499	UKB	88329.0	36764567	10	8882,85440,51085,2646,8854,1952,51129,4018,28,10	-0.30910000000000004	1.011	29097.0	18.5	0.00576726	8.501447347222221	43.5	1662.0	58.095	0.9849999999999999
triglycerides to total lipids in small HDL percentage	EFO_0022336	GCST90269745	Common	Continuous	Lipid Measurement	Initial	Triglycerides to total lipids in small HDL percentage (UKB data field 23648)	0.93733954	UKB	88329.0	36764567	25	4023,8882,8854,51129,51085,9415,85440,4018,146894,2590,22837,80790,5340,8289,4299,84870,84166,144347,5819,221037,3626,6804,80212,10351,5331	0.1797	0.658	80810.0	17.0	0.0265279	16.596672407407407	52.0	1528.0	66.434	1.026
triglycerides in very large VLDL measurement	EFO_0022325	GCST90302148	Common	Continuous	Lipid Measurement	Initial	Triglycerides in very large VLDL	0.9372648	Multiple	136016.0	38448586	15	8882,2646,51085,53345,51129,26762,2590,3107,4299,221035,286046,8854,201625,54622,5184	-0.38162	0.963	103727.0	11.0	0.00576726	13.120146296296296	52.0	1332.0	49.19	1.026
free cholesterol to total lipids in small HDL percentage	EFO_0022285	GCST90269744	Common	Continuous	Lipid Measurement	Initial	Free cholesterol to total lipids in small HDL percentage (UKB data field 23647)	0.9367107	UKB	88329.0	36764567	23	4059,8854,10452,63935,1952,255738,5819,19,158219,51426,102,3931,90634,4018,23483,64240,9688,1374,257160,6597,5468,85363,8567	0.078292	0.673	60870.0	20.0	0.0278009	12.01094651851852	54.0	1853.0	59.226	1.026
free cholesterol to total lipids in large LDL percentage	EFO_0022280	GCST90269714	Common	Continuous	Lipid Measurement	Initial	Free cholesterol to total lipids in large LDL percentage (UKB data field 23617)	0.9365144	UKB	88329.0	36764567	30	5819,8882,10452,4023,51085,2646,51129,7158,4018,85440,221037,8854,146894,22837,2590,57678,80790,29958,3949,84870,23460,5340,6804,64757,51426,3083,144347,4299,1952,23499	-0.040711500000000005	0.749	65527.0	17.0	0.0203032	12.149035121296297	52.0	1868.5	64.2465	1.026
ovarian carcinoma	EFO_0001075	GCST009830	Common	Categorical	Neoplasm	Initial	Ovarian cancer	0.9350095		40203.0	31488892	14	672,79747,55512,124540,143162,80816,10186,4522,55016,170690,23043,26052,8470,10349	0.20502	0.7415	198234.5	15.0	0.03878875	6.527605669444444	47.0	2683.0	93.464	1.026
cholesterol to total lipids in IDL percentage	EFO_0022233	GCST90269707	Common	Continuous	Lipid Measurement	Initial	Cholesterol to total lipids in IDL percentage (UKB data field 23610)	0.9349127	UKB	88329.0	36764567	28	4059,8854,5819,4023,8882,51085,746,51129,7158,2646,221037,255738,2590,57678,146894,4018,64757,3949,80790,22837,7772,23499,80339,28,9159,8289,1158,7423	-0.30391	1.0815000000000001	41721.0	17.0	0.00802123	16.018326574074074	52.5	1771.5	52.415	1.0187499999999998
free cholesterol in IDL measurement	EFO_0022181	GCST90301979	Common	Continuous	Lipid Measurement	Initial	Free cholesterol in IDL	0.93490696	Multiple	136016.0	38448586	34	348,255738,3949,8854,9415,64241,23460,83449,8701,29881,4018,85440,350,55219,84310,144108,19,126695,5265,85363,9388,6484,675,7227,84875,64757,28983,57523,10444,8882,8647,221037,51085,9584	0.286935	0.8835	50593.5	19.5	0.00691476	10.442335982407407	50.5	2081.5	71.5955	1.026
cholesterol to total lipids in large VLDL percentage	EFO_0022236	GCST90269687	Common	Continuous	Lipid Measurement	Initial	Cholesterol to total lipids in large VLDL percentage (UKB data field 23590)	0.9344512	UKB	88321.0	36764567	18	4018,8854,28,255738,51085,350,23460,2646,8882,4023,84166,3117,5265,25813,221037,89894,64241,6580	0.06734485	1.1175	47769.0	20.5	0.00199946	10.595812887037038	44.0	1496.0	52.415	0.973
cholesterol to total lipids in small VLDL percentage	EFO_0022242	GCST90269697	Common	Continuous	Lipid Measurement	Initial	Cholesterol to total lipids in small VLDL percentage (UKB data field 23600)	0.9339851	UKB	88329.0	36764567	22	10452,4059,8882,4023,51085,255738,4018,2646,1952,23460,28,9415,5819,146894,221037,85440,350,64241,3117,3949,80790,84166	-0.040711500000000005	1.0579999999999998	43725.0	18.5	0.00673477	13.59699611111111	49.5	1852.5	64.964	1.003625
triglycerides to total lipids in large LDL percentage	EFO_0022331	GCST90269715	Common	Continuous	Lipid Measurement	Initial	Triglycerides to total lipids in large LDL percentage (UKB data field 23618)	0.9339344	UKB	88329.0	36764567	19	5819,4059,8854,8882,4023,9415,2646,51085,7158,255738,1952,63935,4018,221037,28,146894,64241,2590,22837	-0.14716	0.815	43048.0	17.0	0.030207750000000002	13.120146296296296	50.0	1878.0	66.434	1.0132
triglycerides in large LDL measurement	EFO_0022319	GCST90302017	Common	Continuous	Lipid Measurement	Initial	Triglycerides in large LDL	0.93300784	Multiple	136016.0	38448586	24	8882,1952,2646,388323,84310,23383,8701,1071,3482,19,4299,28983,144108,126695,350,6514,7227,5265,64241,675,158219,55219,51129,85363	0.14100485	0.885	47316.5	18.0	0.005696985	9.52927289537037	50.0	1614.5	58.686499999999995	1.0185
free cholesterol in small VLDL measurement	EFO_0022272	GCST90302108	Common	Continuous	Lipid Measurement	Initial	Free cholesterol in small VLDL	0.93242586	Multiple	136016.0	38448586	26	8882,2646,348,85440,51129,51085,255738,1952,3482,2590,9785,4299,126695,1643,64241,388323,19,22837,29881,2621,84870,196,5265,2222,28983,8701	-0.08074150000000001	0.8009999999999999	37438.0	19.5	0.0159014	13.078077675925925	52.0	2029.5	67.735	1.0205
phospholipids in medium LDL measurement	EFO_0022183	GCST90302051	Common	Continuous	Lipid Measurement	Initial	Phospholipids in medium LDL	0.9320277	Multiple	136016.0	38448586	30	348,255738,8882,23383,2646,64241,19,8701,9785,5265,3482,29881,126695,23461,9415,6484,55219,29116,28983,7227,9388,85363,144108,1742,5468,54520,675,57523,54899,3172	0.26206999999999997	0.774	50593.5	20.0	0.0206853	12.28416823148148	52.5	1860.0	60.0085	1.026
free cholesterol in medium LDL measurement	EFO_0022268	GCST90302047	Common	Continuous	Lipid Measurement	Initial	Free cholesterol in medium LDL	0.93181944	Multiple	136016.0	38448586	31	348,3949,255738,64241,19,9415,23383,5265,8854,8701,23461,126695,2646,29881,3482,29116,55219,6484,57523,350,85440,85363,144108,7629,160897,675,10444,5468,54520,3172,1742	0.24891	0.786	44492.0	21.0	0.0182978	12.557389944444443	53.0	1878.0	62.059	1.026
free cholesterol in small HDL measurement	EFO_0022270	GCST90302083	Common	Continuous	Lipid Measurement	Initial	Free cholesterol in small HDL	0.93138814	Multiple	136016.0	38448586	16	348,2646,3949,1952,26608,255738,338,405,3083,85440,23460,1071,55167,8854,27232,978	0.09217349999999999	1.027	28331.0	20.5	0.005941915	10.805697241666667	49.0	1928.0	60.332499999999996	1.0126249999999999
free cholesterol to total lipids in very large HDL percentage	EFO_0022288	GCST90269729	Common	Continuous	Lipid Measurement	Initial	Free cholesterol to total lipids in very large HDL percentage (UKB data field 23632)	0.9310287	UKB	88307.0	36764567	22	8854,9688,4023,9388,949,51129,6484,146894,8567,84310,64116,2590,158219,22837,19,3931,1071,6854,7227,57678,220972,57572	0.15376800000000002	0.736	112990.0	17.0	0.0173401	13.313550481481482	52.5	1437.0	54.792	1.0853333333333335
cholesterol to total lipids in small HDL percentage	EFO_0022240	GCST90269742	Common	Continuous	Lipid Measurement	Initial	Cholesterol to total lipids in small HDL percentage (UKB data field 23645)	0.9299934	UKB	88329.0	36764567	17	4059,8854,10452,8882,85440,4018,1952,2646,51129,5819,51085,9388,9415,4299,22837,5340,146894	-0.13786	0.664	38486.0	17.0	0.02126	13.036009055555557	52.0	1528.0	62.059	1.011
