Mapped Trait	Mapped EFO	Study Identifier	Variant Type	Trait Type	Biological Domain	Set	Reported Trait	Trait Cosine Similarity	Population Cohort	Population Sample Size	PUBMED ID	Gene Count	Gene List	SynIntol	LOEUF	Length	nGO	sHet	mrna	n_mrna	CDS	ExpLoF	PhyloP
chronic kidney disease	EFO_0003884	34375979	Rare	Categorical	Renal	Initial	Chronic renal failure	0.7962861	UKB	250941.0	34375979	33	5310,7369,25865,6582,171023,79673,5292,23072,219654,283150,7305,3790,222234,1582,7167,79690,51228,23530,11167,84365,54790,2120,1285,389362,6430,8331,1540,84312,79792,55502,55704,1601,6300	0.00054384	0.818	47190.0	15.0	0.0179711	13.734663185185187	53.0	1336.0	35.472	1.026
Mitral valve prolapse	HP_0001634	34375979	Rare	Categorical	Cardiovascular	Initial	Mitral (valve prolapse	0.9763973	UKB	281104.0	34375979	3	839,84964,9669	0.11448	0.953	14961.0	11.0	0.0106811	13.968372037037035	54.0	580.0	29.257	1.082
lung cancer	MONDO_0008903	34375979	Rare	Categorical	Neoplasm	Initial	Lung cancer	1.0000001	UKB	281104.0	34375979	6	6569,23233,1837,3118,91120,84064	0.35954	1.186	42769.5	11.5	0.002543685	8.822599759259258	50.5	1281.5	48.032	1.0814545454545454
back pain	HP_0003418	34375979	Rare	Categorical	Pain	Initial	Back pain	1.0000001	UKB	281104.0	34375979	11	6336,5093,170712,112398,56097,4645,311,9711,81562,1272,51442	-0.11326800000000001	0.738	54683.0	17.0	0.0169021	13.610831296296295	46.0	1493.0	59.062	1.026
breast cancer	MONDO_0007254	34375979	Rare	Categorical	Neoplasm	Initial	Breast cancer	1.0000001	UKB	281104.0	34375979	17	675,672,11200,79728,472,230,3009,766,51512,91664,1293,9933,4302,343169,25939,4311,27336	0.75119	0.889	38161.0	15.0	0.007155165	4.979257111111111	39.0	2130.0	77.762	1.026
melanoma	EFO_0000756	34375979	Rare	Categorical	Neoplasm	Initial	Melanoma and other malignant neoplasms of skin	0.7311989	UKB	245970.0	34375979	28	2312,5784,54790,2253,1029,4948,201294,64858,144347,7482,5664,7299,1545,83591,1132,150160,4771,23112,5310,4157,23636,10235,8943,353345,8939,118856,6117,10963	-0.016593999999999998	0.834	45059.5	19.0	0.022071800000000003	6.508134249999999	52.0	1561.0	45.3895	1.026
anxiety disorder	EFO_0006788	34375979	Rare	Categorical	Psychiatric	Initial	Other anxiety disorders	0.8494811	UKB	222137.0	34375979	16	56942,4773,23635,80776,56949,23396,56479,2736,83893,23369,57572,51176,9333,27141,115353,81033	-0.009862999999999997	0.7555000000000001	66757.0	8.5	0.033229675	3.9770399814814814	53.0	2044.0	73.13	1.0504
epilepsy	EFO_0000474	34375979	Rare	Categorical	Neurological	Initial	Epilepsy	1.0000001	UKB	246487.0	34375979	25	91828,91156,3455,158,8887,10847,2977,3746,9211,80274,56475,127385,8893,199223,285641,58524,10863,8402,11122,79858,7337,81603,6224,5296,8932	-0.011545	0.76	43200.0	17.0	0.0446813	5.86878874074074	49.0	1653.0	51.388	1.055
meningitis	MONDO_0021108	34375979	Rare	Categorical	Infection	Initial	Meningitis	1.0000001	UKB	281104.0	34375979	7	9479,55808,80834,158798,7094,65110,80149	0.27481500000000003	0.717	20814.0	16.0	0.0260644	16.73655327777778	46.0	1800.0	56.079	1.014
psoriasis	EFO_0000676	34375979	Rare	Categorical	Dermatological	Initial	Psoriasis	1.0000002	UKB	244690.0	34375979	31	80864,8344,80737,374875,441272,51562,51143,27095,23173,29781,148156,3766,127687,23224,8228,4234,80209,9948,10509,11057,90161,6648,64763,83447,23654,57026,54625,23538,8732,2295,85465	-0.28907	0.816	28224.0	15.0	0.0257728	12.920644961111112	54.0	1209.0	30.652	1.026
irritable bowel syndrome	EFO_0000555	34375979	Rare	Categorical	Gastrointestinal	Initial	Irritable bowel syndrome	1.0000001	UKB	200018.0	34375979	33	283849,9131,92104,6701,339221,84705,79034,221079,2582,55367,115004,196446,23113,30968,51661,4986,56941,6557,22847,84659,55357,3888,5552,55789,170689,118471,2625,202374,433,221935,1825,3354,259285	0.059399	1.0415	22208.0	11.0	0.00371848	7.880746555555556	38.0	1377.0	40.811	1.026
