Cosine_R,traitA,traitB,Cosine_C,Cosine
0.16295434648959867,Headache,carpal tunnel syndrome,0.3073198823573055,0.05535924141265843
-0.18188333148539737,Vertigo,carpal tunnel syndrome,-0.06713836353632467,0.037306742577524504
-0.039043081031006455,Alzheimer disease,carpal tunnel syndrome,-0.0027839418445917484,-0.0055768842669386655
-0.17706658323144392,bipolar disorder,carpal tunnel syndrome,-0.14631698031372617,0.07218974436630927
-0.03217886575303952,carpal tunnel syndrome,schizophrenia,-0.19048843453038286,0.033106861852032564
0.20604362021339107,carpal tunnel syndrome,migraine disorder,0.024016201311348663,-0.059636675336028684
0.15642089514135366,carpal tunnel syndrome,multiple sclerosis,-0.007716496385826218,0.06376315124102243
-0.24827844723161888,obsessive-compulsive disorder,partial epilepsy,0.15075903264035947,-0.025008928662490063
-0.10257873156368827,insomnia,obsessive-compulsive disorder,0.056419240469475766,0.0888982237012167
0.19678839834316772,obsessive-compulsive disorder,whole-brain volume,-0.1523174129256492,-0.07721386356937299
0.07393516431440003,Headache,obsessive-compulsive disorder,0.31254486115697516,0.004791078705428493
0.18989542528072748,Vertigo,obsessive-compulsive disorder,-0.17584906431919978,-0.05096021279453151
0.2626150623442546,Alzheimer disease,obsessive-compulsive disorder,0.567942600462616,0.2569482683307084
0.1088710575344235,bipolar disorder,obsessive-compulsive disorder,0.2773468200283724,0.03622492973776105
-0.23808169055534698,obsessive-compulsive disorder,schizophrenia,0.08855010014178502,-0.013965264332122505
0.06560266106459582,migraine disorder,obsessive-compulsive disorder,0.09689418480725454,0.035374996308036755
0.2538770821263449,multiple sclerosis,obsessive-compulsive disorder,0.712609592406265,0.20876027680224013
0.17393847217956593,insomnia,partial epilepsy,0.35964659288667833,0.047856095786305744
-0.018429796319915887,partial epilepsy,whole-brain volume,-0.0664396240456316,0.022801909235030227
0.14207356672610055,Headache,partial epilepsy,0.42083206240594984,0.09424386909255045
-0.13045893826024338,Vertigo,partial epilepsy,0.09812008052336649,-0.01624204652005605
-0.1237918842713766,Alzheimer disease,partial epilepsy,0.0657622164048636,0.01968590929716278
0.15550897139288572,bipolar disorder,partial epilepsy,0.39534800848221563,-0.014965833786672315
0.25307022845747484,partial epilepsy,schizophrenia,0.44735098095275194,0.050452721083204026
0.16869587897249191,migraine disorder,partial epilepsy,0.10286100447945248,0.08054046318492986
-0.183792349226988,multiple sclerosis,partial epilepsy,0.044978167282496984,-0.007522680717700694
0.5352624905158535,insomnia,whole-brain volume,-0.10434827453286734,-0.10730549197497706
0.16628462996483537,Headache,insomnia,0.3084463508286885,0.1091830539634142
0.0636272570520978,Vertigo,insomnia,0.17053320490947885,0.0799024067822158
-0.02102315890638603,Alzheimer disease,insomnia,-0.03401483669614992,-0.00039966245693595637
0.47107661838616127,bipolar disorder,insomnia,0.3769946024838567,0.3120971047760293
0.23381587553744865,insomnia,schizophrenia,0.3372657430992084,0.10358971926389919
-0.13749278610499444,insomnia,migraine disorder,0.23156286667259388,-0.024268468745212553
-0.2944618226649681,insomnia,multiple sclerosis,-0.12482432206599553,0.02672015546934468
-0.06639649142107969,Headache,whole-brain volume,-0.10351324606853138,0.002686576519677108
-0.15535392953448107,Vertigo,whole-brain volume,-0.234488431143427,0.01945436785725333
0.31544153432510125,Alzheimer disease,whole-brain volume,0.018533302824925182,0.03047063014148764
0.11878512168053038,bipolar disorder,whole-brain volume,-0.08462878533131649,0.015198015336205796
-0.12005849282280226,schizophrenia,whole-brain volume,-0.06634200208576463,0.008240335373091611
0.15855054875560734,migraine disorder,whole-brain volume,-0.16800256285799037,0.04520410483847947
0.12542242519285962,multiple sclerosis,whole-brain volume,-0.2506027603282729,-0.014982847756553279
0.14555619682324253,Headache,Vertigo,0.1795636902817466,0.05489457138311693
