Trait	Log2SizeOE	-logCOLOC p	Test Annotation	Test	TraitC	TraitR	Repeat	SizeOE	Network
GO:0002064	1.1916928018903157	178.46306297729532	0.75	Relevance-GO			1.0	2.2842060579108328	PCNet2.0
GO:0002064	1.230477789704655	213.90413354652145	0.75	Relevance-GO			2.0	2.3464468627554202	PCNet2.0
GO:0002064	1.305821881946666	206.22250068040964	0.75	Relevance-GO			3.0	2.472245274587524	PCNet2.0
GO:0002064	1.443225961715244	250.0	1.0	Relevance-GO			1.0	2.719282357315132	PCNet2.0
GO:0002064	1.501874401129978	250.0	1.0	Relevance-GO			2.0	2.832104306935984	PCNet2.0
GO:0002064	1.5147304532666932	250.0	1.0	Relevance-GO			3.0	2.857454355526144	PCNet2.0
GO:0002274	-0.3952258736986349	3.5124374397436218	0.0	Relevance-GO			1.0	0.760370320896826	PCNet2.0
GO:0002274	-0.07852826889898	0.4063816918704641	0.0	Relevance-GO			2.0	0.9470232374060044	PCNet2.0
GO:0002274	0.6133886183301513	17.28191370521691	0.0	Relevance-GO			3.0	1.529848317166851	PCNet2.0
GO:0002274	0.331349187839391	4.6302277114030375	0.25	Relevance-GO			1.0	1.258189465359348	PCNet2.0
GO:0002274	0.2014119251579998	2.285921835018144	0.25	Relevance-GO			2.0	1.1498231041378248	PCNet2.0
GO:0002274	0.5151863463351516	13.119586600122084	0.25	Relevance-GO			3.0	1.4291787283143382	PCNet2.0
GO:0002274	1.1714227254035496	149.5291486754739	0.5	Relevance-GO			1.0	2.252337034945731	PCNet2.0
GO:0002274	1.372594580149125	214.76095090685985	0.5	Relevance-GO			2.0	2.5893582453290005	PCNet2.0
GO:0002274	1.2978753671915713	182.70311552446145	0.5	Relevance-GO			3.0	2.458665323991277	PCNet2.0
GO:0002274	1.5888390112055046	250.0	0.75	Relevance-GO			1.0	3.0080718165359084	PCNet2.0
GO:0002274	1.6983652181811606	250.0	0.75	Relevance-GO			2.0	3.245330073482767	PCNet2.0
GO:0002274	1.669544496043732	250.0	0.75	Relevance-GO			3.0	3.181141390592246	PCNet2.0
GO:0002274	1.7995528655566415	250.0	1.0	Relevance-GO			1.0	3.481123181541144	PCNet2.0
GO:0002274	1.7769683256572888	250.0	1.0	Relevance-GO			2.0	3.427052577372908	PCNet2.0
GO:0002274	1.7652458518194123	250.0	1.0	Relevance-GO			3.0	3.399319230272738	PCNet2.0
GO:0002573	0.095705543534364	0.549750891680639	0.0	Relevance-GO			1.0	1.0685878683847883	PCNet2.0
GO:0002573	0.0038103970465025	0.0154726866562074	0.0	Relevance-GO			2.0	1.0026446569211542	PCNet2.0
GO:0002573	-0.034622500878075	0.1496601454165207	0.0	Relevance-GO			3.0	0.9762871850560191	PCNet2.0
GO:0002573	0.1408685345842996	0.95703092660682	0.25	Relevance-GO			1.0	1.1025686870492877	PCNet2.0
GO:0002573	0.6299868801471948	21.32808698755841	0.25	Relevance-GO			2.0	1.547550920067383	PCNet2.0
GO:0002573	-0.041082189327169	0.2007973436994748	0.25	Relevance-GO			3.0	0.9719256164817186	PCNet2.0
GO:0002573	0.5830856191165155	16.710634048479967	0.5	Relevance-GO			1.0	1.4980498360242747	PCNet2.0
GO:0002573	1.312810152198444	165.5619325495465	0.5	Relevance-GO			2.0	2.4842496335172277	PCNet2.0
GO:0002573	0.8202962590398831	40.64666090468869	0.5	Relevance-GO			3.0	1.7657685579013045	PCNet2.0
GO:0002573	1.4115884035107984	250.0	0.75	Relevance-GO			1.0	2.6602989987045986	PCNet2.0
GO:0002573	1.2956146310220416	202.28025450747043	0.75	Relevance-GO			2.0	2.4548155562453675	PCNet2.0
GO:0002573	1.5153265024490596	250.0	0.75	Relevance-GO			3.0	2.8586351561578596	PCNet2.0
GO:0002573	1.7831786554503906	250.0	1.0	Relevance-GO			1.0	3.4418367142599675	PCNet2.0
GO:0002573	1.5626504000214405	250.0	1.0	Relevance-GO			2.0	2.953960224263565	PCNet2.0
GO:0002573	1.5465286390773998	250.0	1.0	Relevance-GO			3.0	2.921134200909387	PCNet2.0
GO:0002685	-0.1136162038565586	0.5833594926617189	0.0	Relevance-GO			1.0	0.9242684202977843	PCNet2.0
GO:0002685	-0.2922346216138438	2.6219656775426685	0.0	Relevance-GO			2.0	0.8166361729662189	PCNet2.0
GO:0002685	0.38078823952434	5.900664722314042	0.0	Relevance-GO			3.0	1.3020530586621406	PCNet2.0
GO:0002685	0.7490978565523034	31.546987608878545	0.25	Relevance-GO			1.0	1.6807415036045315	PCNet2.0
GO:0002685	0.5968274316770461	21.51684079028302	0.25	Relevance-GO			2.0	1.5123870819104386	PCNet2.0
GO:0002685	0.1689560161937579	1.6386499756477335	0.25	Relevance-GO			3.0	1.1242446481270396	PCNet2.0
GO:0002685	1.5189349758413933		0.5	Relevance-GO			1.0	2.8657941327332597	PCNet2.0
GO:0002685	1.4431167245674117	239.04426415771752	0.5	Relevance-GO			2.0	2.719076468062777	PCNet2.0
GO:0002685	1.2646680389395992	146.68006156001968	0.5	Relevance-GO			3.0	2.4027191748710734	PCNet2.0
GO:0002685	1.6223555508389196	250.0	0.75	Relevance-GO			1.0	3.0787731075745337	PCNet2.0
GO:0002685	1.5853971558082676	250.0	0.75	Relevance-GO			2.0	3.0009039760125273	PCNet2.0
GO:0002685	1.6221653431584022	250.0	0.75	Relevance-GO			3.0	3.078367222981461	PCNet2.0
GO:0002685	1.7774793670615296	250.0	1.0	Relevance-GO			1.0	3.428266746645672	PCNet2.0
GO:0002685	1.8276318226293589	250.0	1.0	Relevance-GO			2.0	3.549539387102839	PCNet2.0
GO:0002685	1.7983434407116914	250.0	1.0	Relevance-GO			3.0	3.4782061460410896	PCNet2.0
GO:0002758	0.2035254151508691	1.9931062920521	0.0	Relevance-GO			1.0	1.1515087829909456	PCNet2.0
GO:0002758	-0.0082304811554505	0.0340930845048081	0.0	Relevance-GO			2.0	0.9943113074313771	PCNet2.0
GO:0002758	0.0645568111998227	0.3134531009369937	0.0	Relevance-GO			3.0	1.0457636370128909	PCNet2.0
GO:0002758	0.4645590740456169	11.79236563261104	0.25	Relevance-GO			1.0	1.3798955561811785	PCNet2.0
GO:0002758	0.4639831713441659	10.38605252321965	0.25	Relevance-GO			2.0	1.3793448320408053	PCNet2.0
GO:0002758	0.8586056793996507	42.84955059053912	0.25	Relevance-GO			3.0	1.813284979067225	PCNet2.0
GO:0002758	1.3898463487389132	203.5120136688706	0.5	Relevance-GO			1.0	2.620507701083856	PCNet2.0
GO:0002758	1.2888126277329053	137.80826960663714	0.5	Relevance-GO			2.0	2.443268859388358	PCNet2.0
GO:0002758	0.9151535957198214	45.7667499904589	0.5	Relevance-GO			3.0	1.8857698285785953	PCNet2.0
GO:0002758	1.5613203482653375	250.0	0.75	Relevance-GO			1.0	2.951238159412214	PCNet2.0
GO:0002758	1.6612326137663938	250.0	0.75	Relevance-GO			2.0	3.1628663918911752	PCNet2.0
GO:0002758	1.766324538564818	250.0	0.75	Relevance-GO			3.0	3.401861813180066	PCNet2.0
GO:0002758	1.8031653378375736	250.0	1.0	Relevance-GO			1.0	3.4898507491227564	PCNet2.0
GO:0002758	1.939834779820968	250.0	1.0	Relevance-GO			2.0	3.836617075459053	PCNet2.0
GO:0002758	1.8168333157252428	250.0	1.0	Relevance-GO			3.0	3.523070428937883	PCNet2.0
GO:0002819	-0.2099544760171151	1.4849213249240774	0.0	Relevance-GO			1.0	0.8645645120553321	PCNet2.0
GO:0002819	0.3349360533384526	4.024568191490737	0.0	Relevance-GO			2.0	1.261321500212753	PCNet2.0
GO:0002819	-0.1767706754819647	1.1057947408579163	0.0	Relevance-GO			3.0	0.8846810492006829	PCNet2.0
GO:0002819	0.8212444566950976	40.73636393141189	0.25	Relevance-GO			1.0	1.7669294740252728	PCNet2.0
GO:0002819	0.7370108558970885	31.77520804350732	0.25	Relevance-GO			2.0	1.6667189558888122	PCNet2.0
GO:0002819	0.7051416257630464	24.63563664538427	0.25	Relevance-GO			3.0	1.6303046998839368	PCNet2.0
GO:0002819	1.5631335358625194	250.0	0.5	Relevance-GO			1.0	2.954949624664249	PCNet2.0
GO:0002819	1.5728515577299609	250.0	0.5	Relevance-GO			2.0	2.974921412492687	PCNet2.0
GO:0002819	1.539066208655116	250.0	0.5	Relevance-GO			3.0	2.9060634621426327	PCNet2.0
GO:0002819	1.9144292043012128	250.0	0.75	Relevance-GO			1.0	3.7696464052224012	PCNet2.0
GO:0002819	1.7818189011273045	250.0	0.75	Relevance-GO			2.0	3.4385942774220006	PCNet2.0
GO:0002819	1.8025041853300607	250.0	0.75	Relevance-GO			3.0	3.488251800700881	PCNet2.0
GO:0002819	1.980903974522192	250.0	1.0	Relevance-GO			1.0	3.947403436458633	PCNet2.0
GO:0002819	2.0808654177889045	250.0	1.0	Relevance-GO			2.0	4.230609182502555	PCNet2.0
GO:0002819	1.998598669130109	250.0	1.0	Relevance-GO			3.0	3.996116572181481	PCNet2.0
GO:0004620	0.4589912114644737	8.299209778625652	0.0	Relevance-GO			1.0	1.374580321948743	PCNet2.0
GO:0004620	-0.3298866695866926	3.123724411322121	0.0	Relevance-GO			2.0	0.7955989793047241	PCNet2.0
GO:0004620	0.1486650009843159	1.114412643810344	0.0	Relevance-GO			3.0	1.1085432059663378	PCNet2.0
GO:0004620	0.7527681411028255	25.04301563225724	0.25	Relevance-GO			1.0	1.685022833280422	PCNet2.0
GO:0004620	0.460233531377569	9.40153779952585	0.25	Relevance-GO			2.0	1.3757644973388659	PCNet2.0
GO:0004620	0.5448734944506887	12.39848321634999	0.25	Relevance-GO			3.0	1.4588924127836058	PCNet2.0
GO:0004620	1.4591763951683967	235.34457341225408	0.5	Relevance-GO			1.0	2.7495135476031165	PCNet2.0
GO:0004620	1.3777440923975888	187.37830453767072	0.5	Relevance-GO			2.0	2.5986171370751374	PCNet2.0
GO:0004620	1.533028189861054	250.0	0.5	Relevance-GO			3.0	2.8939263177063945	PCNet2.0
GO:0004620	1.6599069276284797	250.0	0.75	Relevance-GO			1.0	3.159961382756914	PCNet2.0
GO:0004620	1.6822636492635252	250.0	0.75	Relevance-GO			2.0	3.209311106186337	PCNet2.0
GO:0004620	1.7438958080177218	250.0	0.75	Relevance-GO			3.0	3.3493840475141647	PCNet2.0
GO:0004620	1.9699390154041407	250.0	1.0	Relevance-GO			1.0	3.917515588368282	PCNet2.0
GO:0004620	1.98090557168675	250.0	1.0	Relevance-GO			2.0	3.94740780651341	PCNet2.0
GO:0004620	1.960120480062553	250.0	1.0	Relevance-GO			3.0	3.890944710491947	PCNet2.0
GO:0005085	-0.0772293240331395	0.4151036558625501	0.0	Relevance-GO			1.0	0.9478762831875184	PCNet2.0
GO:0005085	-0.3595532977848445	3.916139199133427	0.0	Relevance-GO			2.0	0.7794058700396383	PCNet2.0
GO:0005085	-0.0159745722235722	0.0693056123354646	0.0	Relevance-GO			3.0	0.9889883473363705	PCNet2.0
GO:0005085	0.6286986144550306	18.78409818679597	0.25	Relevance-GO			1.0	1.5461696393115743	PCNet2.0
GO:0005085	0.2584311446484097	3.200590520384873	0.25	Relevance-GO			2.0	1.1961772169774096	PCNet2.0
GO:0005085	0.4994669389880501	11.462558716592053	0.25	Relevance-GO			3.0	1.41369112149938	PCNet2.0
GO:0005085	0.9606829412936502	66.23972833945794	0.5	Relevance-GO			1.0	1.9462309813450447	PCNet2.0
GO:0005085	1.01511846292315	75.22351674416632	0.5	Relevance-GO			2.0	2.0210688406523563	PCNet2.0
GO:0005085	1.0483251536226108	74.29379445811803	0.5	Relevance-GO			3.0	2.0681275331441364	PCNet2.0
GO:0005085	1.416736111352137	204.1582652210253	0.75	Relevance-GO			1.0	2.669808217501396	PCNet2.0
GO:0005085	1.3640186682702615	186.3128278954052	0.75	Relevance-GO			2.0	2.5740118017365616	PCNet2.0
GO:0005085	1.4722648760274155	240.3428484980034	0.75	Relevance-GO			3.0	2.774571297442388	PCNet2.0
GO:0005085	1.6941068836860351	250.0	1.0	Relevance-GO			1.0	3.2357651098674327	PCNet2.0
GO:0005085	1.6833157013946491	250.0	1.0	Relevance-GO			2.0	3.211652275913549	PCNet2.0
GO:0005085	1.701560258035007	250.0	1.0	Relevance-GO			3.0	3.252525252525252	PCNet2.0
GO:0005262	0.0560411769866642	0.3019864960608183	0.0	Relevance-GO			1.0	1.0396091069757771	PCNet2.0
GO:0005262	-0.0530665755901862	0.2750690858076021	0.0	Relevance-GO			2.0	0.9638853266040625	PCNet2.0
GO:0005262	0.0047713744938313	0.0199511549350432	0.0	Relevance-GO			3.0	1.0033127398120822	PCNet2.0
GO:0005262	0.574597904048302	15.41907502432438	0.25	Relevance-GO			1.0	1.4892623304752421	PCNet2.0
GO:0005262	0.2539322809021246	2.764471553092452	0.25	Relevance-GO			2.0	1.1924528981105247	PCNet2.0
GO:0005262	0.6135320428355582	18.832978204209745	0.25	Relevance-GO			3.0	1.5300004135136251	PCNet2.0
GO:0005262	1.480647486905879	231.9661743060467	0.5	Relevance-GO			1.0	2.7907395459796844	PCNet2.0
GO:0005262	1.3191657614244714	159.23462951970836	0.5	Relevance-GO			2.0	2.495217820560286	PCNet2.0
GO:0005262	1.3997875756906044	182.3697755892476	0.5	Relevance-GO			3.0	2.6386272780016373	PCNet2.0
GO:0005262	1.467363914228538	247.44538971477385	0.75	Relevance-GO			1.0	2.7651618264395323	PCNet2.0
GO:0005262	1.7183287679240211	250.0	0.75	Relevance-GO			2.0	3.290550054965054	PCNet2.0
GO:0005262	1.7833434929423522	250.0	0.75	Relevance-GO			3.0	3.44222998943474	PCNet2.0
GO:0005262	2.005152827165069	250.0	1.0	Relevance-GO			1.0	4.014312214507248	PCNet2.0
GO:0005262	1.9893544133095329	250.0	1.0	Relevance-GO			2.0	3.970592797096504	PCNet2.0
GO:0005262	1.959424311872362	250.0	1.0	Relevance-GO			3.0	3.8890675996573574	PCNet2.0
GO:0005741	-0.2178764128021982	1.7004927012995124	0.0	Relevance-GO			1.0	0.8598301396785288	PCNet2.0
GO:0005741	0.1976470389766052	1.725611204449621	0.0	Relevance-GO			2.0	1.146826414302697	PCNet2.0
GO:0005741	-0.115200586052695	0.6779875614175995	0.0	Relevance-GO			3.0	0.9232539365877648	PCNet2.0
GO:0005741	0.5355074464175009	13.984640244590786	0.25	Relevance-GO			1.0	1.4494518879415346	PCNet2.0
GO:0005741	0.2879000801752254	3.892790030352132	0.25	Relevance-GO			2.0	1.2208619538860586	PCNet2.0
GO:0005741	0.5943340201801026	17.722849386036202	0.25	Relevance-GO			3.0	1.5097754790471074	PCNet2.0
GO:0005741	1.2718363388607363	151.4350973274708	0.5	Relevance-GO			1.0	2.4146872422785735	PCNet2.0
GO:0005741	1.277349476579433	141.00859669741996	0.5	Relevance-GO			2.0	2.4239324200006864	PCNet2.0
GO:0005741	0.8853295950880644	52.7594507517174	0.5	Relevance-GO			3.0	1.8471865776348937	PCNet2.0
GO:0005741	1.5007305821818897	250.0	0.75	Relevance-GO			1.0	2.829859805737643	PCNet2.0
