GeneSet	Tissue	Log10PValue	Tissue.Specific.Genes	fold.change	samples	NotIdentifiedCount
34662886_EFO_0007805_GCST90025956_EFO_0007805	Kidney	0.0289417301531042	1	2.15407441223465	9	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Liver	9.91118710582401	11	18.9221655122129	10	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Lung	0	0	0	9	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Lymph Node	0.0551450191517007	1	2.88064713064713	5	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Ovary	0	0	0	3	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Pancreas	0	0	0	2	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Placenta	1.04342508644008	3	6.04935897435897	8	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Prostate	0	0	0	9	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Rectum	0.0551450191517007	1	4.3209706959707	4	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Salivary Gland	0	0	0	3	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Seminal Vesicle	0	0	0	3	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Skeletal Muscle	0	0	0	5	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Skin	0	0	0	3	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Small Intestine	2.00469545154905	4	8.54027149321267	4	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Smooth Muscle	0	0	0	3	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Spleen	0.0314388267258659	1	2.38007566204288	5	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Stomach	0.0551450191517007	1	4.42636022514071	4	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Testis	0	0	0	10	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Thyroid Gland	0.0551450191517007	1	2.8027918027918	5	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Tonsil	0	0	0	5	0
34662886_EFO_0007805_GCST90025956_EFO_0007805	Urinary Bladder	0	0	0	2	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Adipose Tissue	0	0	0	5	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Adrenal Gland	0	0	0	3	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Appendix	0	0	0	3	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Bone Marrow	0	0	0	4	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Breast	0	0	0	4	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Cerebral Cortex	0	0	0	3	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Cervix, uterine	0	0	0	2	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Colon	0	0	0	13	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Duodenum	0	0	0	2	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Endometrium	0	0	0	5	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Esophagus	0	0	0	3	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Fallopian Tube	0	0	0	5	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Gallbladder	0	0	0	3	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Heart Muscle	0	0	0	4	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Kidney	5.90042512852365	5	40.0042390843578	9	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Liver	0	1	6.38930264048747	10	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Lung	0	0	0	9	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Lymph Node	0	0	0	5	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Ovary	0	0	0	3	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Pancreas	0	0	0	2	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Placenta	0	0	0	8	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Prostate	0	0	0	9	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Rectum	0	0	0	4	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Salivary Gland	0	0	0	3	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Seminal Vesicle	0	1	15.6760797342193	3	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Skeletal Muscle	0	0	0	5	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Skin	0	0	0	3	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Small Intestine	0	1	7.93025210084034	4	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Smooth Muscle	0	0	0	3	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Spleen	0	0	0	5	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Stomach	0	0	0	4	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Testis	0	0	0	10	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Thyroid Gland	0	0	0	5	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Tonsil	0	0	0	5	0
36088354_EFO_0004531_GCST90025965_EFO_0004531	Urinary Bladder	0	0	0	2	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Adipose Tissue	0.413073665288994	2	8.6836899010812	5	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Adrenal Gland	0	0	0	3	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Appendix	0	0	0	3	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Bone Marrow	8.30537715828022	9	21.9210220673635	4	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Breast	0	0	0	4	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Cerebral Cortex	0	1	0.477158387055998	3	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Cervix, uterine	0	0	0	2	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Colon	0	1	4.45246520405756	13	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Duodenum	0	0	0	2	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Endometrium	0	0	0	5	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Esophagus	0	0	0	3	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Fallopian Tube	0	0	0	5	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Gallbladder	0	0	0	3	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Heart Muscle	0	1	3.44353220215289	4	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Kidney	0	1	2.07429387844818	9	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Liver	0	1	1.65648586975601	10	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Lung	0	0	0	9	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Lymph Node	0	0	0	5	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Ovary	0	0	0	3	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Pancreas	0	0	0	2	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Placenta	0	1	1.9417695473251	8	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Prostate	0	0	0	9	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Rectum	0	1	4.16093474426808	4	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Salivary Gland	0	0	0	3	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Seminal Vesicle	0	0	0	3	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Skeletal Muscle	0.0440911315642136	2	4.32840270611168	5	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Skin	0	0	0	3	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Small Intestine	0	0	0	4	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Smooth Muscle	0	0	0	3	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Spleen	0	0	0	5	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Stomach	0	0	0	4	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Testis	0	0	0	10	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Thyroid Gland	0	0	0	5	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Tonsil	0	0	0	5	0
34662886_EFO_0007986_GCST90025972_EFO_0007986	Urinary Bladder	0	0	0	2	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Adipose Tissue	0.000260825611934439	1	5.09694842019984	5	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Adrenal Gland	0	0	0	3	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Appendix	0	0	0	3	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Bone Marrow	4.47691085205987	6	17.1555824875019	4	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Breast	0	0	0	4	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Cerebral Cortex	0	0	0	3	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Cervix, uterine	0	0	0	2	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Colon	0	0	0	13	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Duodenum	0	0	0	2	0
36138231_EFO_0007984_GCST90025961_EFO_0007984	Endometrium	0	0	0	5	0
