	log2COLOC_norm	log2COLOC	Prediction	Residual
30140000_EFO_0004611_GCST90019512_EFO_0004611	0.8654791154791155	1.857464828955792	0.7391162481628015	0.12636286731631396
30140000_EFO_0004611_GCST90239612_EFO_0004611	0.7542997542997543	1.651326919023422	0.8397721527045108	-0.08547239840475651
30140000_EFO_0004611_GCST90239655_EFO_0004611	0.7014742014742015	1.5285612618934528	0.6410614249965818	0.06041277647761967
30140000_EFO_0004611_GCST90278638_EFO_0004611	0.7407862407862408	1.6239986292080304	0.7572696381487966	-0.016483397362555774
30175238_EFO_0004312_GCST90270083_EFO_0004312	0.26105651105651106	0.2386247042289658	0.2894508565478785	-0.028394345491367434
30175238_EFO_0004312_GCST90278629_EFO_0004312	0.35995085995085996	0.5571912288237905	0.3202909294090573	0.03965993054180267
30175238_EFO_0004314_GCST007432_EFO_0004314	0.060196560196560195	-0.4205354817713985	0.2996851886571506	-0.2394886284605904
30175238_EFO_0004314_GCST90270081_EFO_0004314	0.07555282555282555	-0.3468989747220636	0.3099427781509997	-0.23438995259817413
30175238_EFO_0004713_GCST007080_EFO_0004713	0.3839066339066339	0.6223209409941843	0.5110139284142181	-0.12710729450758423
30175238_EFO_0004713_GCST007431_EFO_0004713	0.4391891891891892	0.7871845464694684	0.5375380812765875	-0.09834889208739833
30175238_EFO_0004713_GCST90025978_EFO_0004713	0.3538083538083538	0.5417756831002029	0.2392477709717019	0.11456058283665188
30175238_EFO_0004713_GCST90054785_EFO_0004713	0.4367321867321867	0.7813488060933049	0.35921473014599414	0.07751745658619258
30175238_EFO_0004713_GCST90244094_EFO_0004713	0.47297297297297297	0.8780442822431936	0.5116441188267563	-0.03867114585378334
30206357_EFO_0004842_GCST007065_EFO_0004842	0.019656019656019656	-0.708570350861722	0.37374895774267897	-0.3540929380866593
30206357_EFO_0004842_GCST90002302_EFO_0004842	0.03931203931203931	-0.5470959078280928	0.35705471857435145	-0.31774267926231214
30206357_EFO_0004842_GCST90018733_EFO_0004842	0.023955773955773956	-0.6696607992762478	0.2696679569716369	-0.24571218301586298
30206357_EFO_0004842_GCST90018953_EFO_0004842	0.02764127764127764	-0.6387782102512978	0.3616144187175406	-0.3339731410762629
30206357_EFO_0004842_GCST90025987_EFO_0004842	0.006756756756756756	-0.9862950847126868	0.3144685572704599	-0.30771180051370317
30255815_MONDO_0004975_GCST009021_MONDO_0004975	0.38206388206388203	0.6186027262298597	0.3637303855857875	0.018333496478094513
30255815_MONDO_0004975_GCST90038452_MONDO_0004975	0.5460687960687961	1.0749787335332268	0.351074881170791	0.1949939148980051
30255815_MONDO_0004975_GCST90301303_MONDO_0004975	0.5466830466830467	1.076186562298428	0.3784235976216609	0.1682594490613858
30255815_MONDO_0004975_GCST90399479_MONDO_0004975	0.5343980343980345	1.0458791946905333	0.37645003918869263	0.15794799520934183
30315176_EFO_0004531_GCST90025965_EFO_0004531	0.9895577395577395	2.3716139746151708	0.9079505738757165	0.08160716568202298
31367044_EFO_0004458_GCST002086_EFO_0004458	0.5853808353808354	1.2237337643465291	0.7685022643206689	-0.18312142893983352
31367044_EFO_0004458_GCST90018730_EFO_0004458	0.6627764127764127	1.4376352616829364	0.7781988911644356	-0.11542247838802289
