trait_pair	density_R	density_C	assortativity_RC	binary	jaccard	jaccard_zero	n_rare	n_common	N_C	N_R	log2SizeOE	Mean_LOEUF	DiffRC_LOEUF	Mean_GO	DiffRC_GO	Mean_GeneSize	DiffRC_GeneSize	Mean_mRNA	DiffRC_mRNA	Mean_nTissues	DiffRC_nTissues
36809768_EFO_0004468_GCST90271558_EFO_0004468	0.0773809523809523	0.075268817204301	0.0112387010873312	0	0.1313131313131313	0	49	63	475416.0	359757.0	1.4490482738605186	2.811790625	-0.5583599407429218	15.5625	-0.06451612903225806	67128.0	-0.6793179488772246	12.377391450231482	0.051268306347846695	52.4375	0.01904761904761905
36809768_EFO_0004468_GCST90301964_EFO_0004468	0.0773809523809523	0.5238095238095238	0.0079478735007081	0	0.0181818181818181	0	49	7	136016.0	359757.0	1.353672304926279	2.24253125	-0.7343506393841231	15.375	-0.18181818181818182	62631.625	-1.3083632548664001	12.954199921296293	-0.12855899261826226	53.0	0.0
36809768_EFO_0004531_GCST90025965_EFO_0004531	0.0326323422770123	0.0476190476190476	0.0042011254152861	0	0.0241545893719806	0	197	15	437354.0	392869.0	1.7424598214167473	1.8751299528301886	0.47415798847900387	14.141509433962264	-0.13333333333333333	27431.77358490566	0.06690167254181355	12.015280812368971	1.0078596993627795	50.2311320754717	0.6329113924050633
36809768_EFO_0004533_GCST011353_EFO_0004533	0.0329598749348619	0.04	0.0045852453442414	0	0.0476190476190476	0	304	26	203476.0	393351.0	1.891626401057168	1.6521954545454547	-0.2987976667592556	14.275757575757575	-0.2222222222222222	34886.878787878784	-0.7110156218625758	12.221432956228956	-0.08627338826645976	53.0	0.0
36809768_EFO_0004533_GCST90011900_EFO_0004533	0.0329598749348619	0.0297520661157024	0.0051642072895976	0	0.095360824742268	0	304	121	390964.0	393351.0	1.5679149078442505	1.9349124705882352	-0.5266341329300984	14.569411764705883	-0.13333333333333333	42607.202352941174	-0.7302146177430521	12.280727854488017	-0.04124483475921439	53.28470588235294	-0.018691588785046728
36809768_EFO_0004533_GCST90018942_EFO_0004533	0.0329598749348619	0.0320595854922279	0.0057241953589893	0	0.109375	0	304	193	463178.0	393351.0	1.6971308986921687	2.0748609657947683	-0.5445410103204781	14.776659959758552	-0.13333333333333333	55838.32997987927	-0.9756085884577639	12.461148737797153	-0.06684967834845897	53.0	0.0
36809768_EFO_0004533_GCST90025947_EFO_0004533	0.0329598749348619	0.1166666666666666	0.0043468148216709	0	0.0389610389610389	0	304	16	437896.0	393351.0	1.6538175355697011	1.669285	-0.5539340244204088	14.875	-0.7692307692307693	33983.475	-0.7403493796818202	12.047352913935184	0.15613170789652714	52.875	0.04830917874396135
36809768_EFO_0004533_GCST90448598_EFO_0004533	0.0329598749348619	0.0196078431372549	0.0041002600385701	0	0.0387096774193548	0	304	18	38000.0	393351.0	1.6581939830619978	1.5983869565217392	0.10928890055103638	14.195652173913043	-0.2222222222222222	34644.67080745342	-0.8303801619765143	12.062447247354497	0.11336915813985063	52.91614906832298	0.028708133971291867
36809768_EFO_0004536_GCST001698_EFO_0004536	0.0321896538665454	0.0	0.0025969826193604	0	0.0121212121212121	0	163	4	35707.0	359796.0	1.459760525634159	2.399139101796407	0.05924138625615271	12.988023952095809	0.0392156862745098	24847.670658682633	-0.3367380560131796	14.658240157989576	-0.24393632679655522	53.50898203592814	0.4685714285714286
36809768_EFO_0004536_GCST005989_EFO_0004536	0.0321896538665454	0.0666666666666666	0.0033207130105599	0	0.028735632183908	0	163	16	113509.0	359796.0	1.5484423679202162	2.4638041899441343	-0.24999544734398044	13.312849162011172	-0.23728813559322035	24536.463687150837	0.03352855504942518	14.765871978620941	-0.14569283942412437	53.95530726256983	0.009302325581395349
36809768_EFO_0004536_GCST90018976_EFO_0004536	0.0321896538665454	0.0497531048930121	0.0063784705381956	0	0.1160409556313993	0	163	164	448242.0	359796.0	1.7272792879438386	3.011607186544343	-0.4035551125508763	15.00611620795107	-0.26666666666666666	63344.34556574924	-1.22155750182875	13.875021662541057	0.09861255885570858	53.49847094801223	0.018691588785046728
