Entrez	Mean_mRNA	n_Expressed
6203.0	311.3444518518519	54
7316.0	310.72137222222216	54
1278.0	308.09973735185184	53
7076.0	305.0723481481481	54
5354.0	302.7734816481482	46
7167.0	302.6698907407408	54
1360.0	302.15740227037037	23
1471.0	301.992225925926	54
3178.0	301.0353666666666	54
7531.0	300.9147537037038	54
9741.0	300.2996388888889	54
4694.0	300.0916259259259	54
59286.0	298.51850925925925	54
801.0	298.4050277777777	54
6156.0	298.28567407407405	54
5052.0	295.71489814814817	54
5968.0	294.9264358666667	19
11337.0	294.81140740740733	54
3039.0	294.3471753703704	48
6625.0	293.7513870370369	54
23770.0	292.99749999999995	54
284119.0	290.86191148148146	54
93621.0	290.71552962962966	54
8933.0	289.51302222222216	54
1264.0	287.922855685185	51
103910.0	286.29518703703707	54
5692.0	284.7623888888889	54
4831.0	284.1813166666667	54
966.0	281.63647592592594	54
4627.0	279.8405833333332	54
6303.0	279.6868277777778	54
2752.0	279.2220592592592	54
7314.0	279.0603703703704	54
4501.0	275.12537407407405	54
378938.0	273.242674074074	54
6231.0	272.35911111111113	54
51329.0	271.50388888888887	54
6147.0	269.5892333333333	54
5034.0	269.248937037037	54
6168.0	266.78260555555556	54
2879.0	265.1664851851852	54
1056.0	263.3237465555556	50
23524.0	262.3175759259259	54
527.0	261.9410685185187	54
7077.0	260.38547598148153	53
351.0	259.7067981481482	54
1277.0	258.8009790555557	48
2778.0	257.91420185185183	54
8721.0	257.8172962962964	54
124220.0	257.4648370555556	13
51372.0	255.71014259259266	54
3190.0	255.5280925925926	54
114823.0	254.5910574074074	54
4239.0	253.67019998148152	52
800.0	250.23159325925923	53
8407.0	249.11639259259266	54
375.0	248.61503703703696	54
1973.0	248.3258870370371	54
1982.0	247.78098333333324	54
6288.0	247.35320646296296	41
2813.0	247.30991558148148	17
7388.0	246.93375925925935	54
54543.0	246.4986833333334	54
7846.0	245.7237546296296	54
3727.0	243.69431666666657	54
165.0	243.59752685185188	54
292.0	243.5944685185185	54
6430.0	243.4730944444445	54
6415.0	243.33965740740746	54
2273.0	242.84560962962962	54
3123.0	242.7729661481482	53
10376.0	242.76979814814817	54
57447.0	242.6718028333334	52
358.0	242.54377479629628	53
1363.0	241.06775724074075	52
1490.0	240.55533061111106	52
3939.0	240.50078333333343	54
27018.0	240.41149018518522	54
10383.0	239.44478148148144	54
3491.0	238.6354675925926	53
203068.0	237.1361462962963	54
4069.0	235.3047920925926	53
1329.0	235.1257685185185	54
4713.0	234.0651425925926	54
1281.0	233.47009140740735	43
3240.0	233.1004148148148	31
100130562.0	233.08730555555553	54
2621.0	231.73922296296294	54
4900.0	230.17828685185177	54
5478.0	227.84977962962952	54
334.0	227.4711259259259	54
2907.0	226.5838592592592	54
10476.0	226.37974814814814	54
3853.0	225.86196616296294	31
7052.0	225.51791296296287	54
55845.0	224.90405555555557	54
7171.0	223.1559444444445	54
10567.0	222.73240740740735	54
5093.0	221.97997222222224	54
7812.0	221.73133148148148	54
716.0	220.46626277777776	53
7311.0	219.35572777777776	54
6275.0	219.12908222222228	54
1173.0	218.54199629629633	54
79002.0	218.48616111111116	54
677.0	217.9390462962962	54
6727.0	217.89100555555555	54
51669.0	217.42880925925917	54
7134.0	216.71491318518522	52
100188893.0	216.69540555555554	54
6285.0	216.55212142592595	50
6923.0	215.69696666666667	54
6160.0	215.4091314814815	54
6228.0	215.2179277777778	54
7009.0	213.89336851851857	54
57515.0	213.56061111111117	54
7168.0	212.6478990740741	54
1072.0	212.39604629629633	54
7879.0	212.04351296296295	54
1508.0	211.7985074074074	54
25802.0	211.57926183333336	52
81618.0	211.51606629629637	54
10983.0	211.22607592592593	54
81.0	209.17604259259258	54
1460.0	208.18822222222227	54
4504.0	208.01265600000008	38
1340.0	207.99294259259264	54
3958.0	207.28611092592584	54
5376.0	206.72887888888891	53
3494.0	205.71757905555557	39
1358.0	205.04824974074077	17
3489.0	204.65054998148142	52
1603.0	204.21887222222225	54
7791.0	203.86827777777776	54
5879.0	203.04322037037036	54
1327.0	203.00525185185185	54
8519.0	202.88067037037038	54
2876.0	202.22536481481478	54
5654.0	201.60079000000002	53
440400.0	201.53752222222218	54
9643.0	201.40276481481484	54
64061.0	201.28703703703704	54
1350.0	200.99898148148145	54
6616.0	200.95711075925934	41
1822.0	200.0168322222222	54
521.0	199.68102777777779	54
79026.0	199.11567037037034	54
2353.0	198.95674925925923	54
54541.0	198.37732962962966	54
6647.0	197.63989444444454	54
8666.0	197.2397351851852	54
7458.0	197.23602037037034	54
140606.0	197.02296888888884	54
826.0	196.21918148148154	54
1476.0	196.01120000000006	54
9588.0	196.00517222222223	54
23436.0	195.96033678000006	10
302.0	195.53502481481485	54
2782.0	193.34956481481484	54
28946.0	192.89772907407408	40
3015.0	192.71391481481484	54
27069.0	192.29438148148142	54
5304.0	192.18849038518516	8
