trait_pair	EFO	Common Study	Rare Study	g_C	g_R	nShared	Log2SizeOE	J_RC	jaccard_zero	N_C	N_R	binary	Mean_Constraint	DiffRC_Constraint	Mean_GO	DiffRC_GO	Mean_GeneSize	DiffRC_GeneSize	Mean_mRNA	DiffRC_mRNA	Mean_nTissues	DiffRC_nTissues	density_R	density_C	assortativity_RC
25583502_EFO_0004340_GCST90179150_EFO_0004340	EFO_0004340	GCST90179150	25583502	624	5	0	0.5323820630617826	0.0	1	694649.0	360.0	0	0.04714466502384738	0.3787740069946786	14.063593004769475	0.4444444444444444	148511.40063593004	-1.5161169911031034	8.857229863392805	-0.05539484788244355	52.01589825119237	0.03773584905660377	0.1	0.0300757295139317	0.0189086015740124
27646141_EFO_0004340_GCST90179150_EFO_0004340	EFO_0004340	GCST90179150	27646141	624	5	0	0.2844560167566412	0.0	1	694649.0	399.0	0	0.04664457710651828	-1.5464571067013182	13.968203497615262	-0.3333333333333333	148763.2209856916	-0.9641343049488464	8.903204616749102	0.4608290808214495	51.97615262321145	-0.0594059405940594	0.0	0.0300757295139317	0.0190481144364868
36280733_EFO_0004340_GCST90179150_EFO_0004340	EFO_0004340	GCST90179150	36280733	624	3	1	1.0338016457027852	0.001597444089456869	0	694649.0	87735.0	0	0.04676415330143541	-1.6928696549143185	13.995215311004785	-0.07407407407407407	148996.13875598085	-1.2134631656705392	8.865149494949495	0.09273593964649426	51.952153110047846	-0.2127659574468085	0.0	0.0300757295139317	0.0188299448679081
25583502_EFO_0004340_GCST90255621_EFO_0004340	EFO_0004340	GCST90255621	25583502	966	5	0	0.5892306469776565	0.0	1	1122049.0	360.0	0	0.044086029351184344	0.44226465642646684	14.041194644696189	0.4444444444444444	119497.00205973223	-1.414487722992005	9.724672075794333	-0.14885045549175524	53.005149330587024	0.018691588785046728	0.1	0.0281101492185069	0.0193323415391852
27646141_EFO_0004340_GCST90255621_EFO_0004340	EFO_0004340	GCST90255621	27646141	966	5	0	0.1722612527705408	0.0	1	1122049.0	399.0	0	0.04376207950566426	-1.5191098291301357	13.979402677651905	-0.3333333333333333	119660.12770339855	-0.786581295314831	9.754453867618338	0.37118514576066725	52.979402677651905	-0.0784313725490196	0.0	0.0281101492185069	0.0192906280668952
36280733_EFO_0004340_GCST90255621_EFO_0004340	EFO_0004340	GCST90255621	36280733	966	3	1	0.8019173090164723	0.0010330578512396695	0	1122049.0	87735.0	0	0.04383350291021671	-1.6735379494458669	13.996904024767803	-0.07407407407407407	119750.77089783282	-1.0651682523465935	9.731586929675496	-0.0009147000381853606	52.96594427244582	-0.23157894736842105	0.0	0.0281101492185069	0.0191209115571058
25583502_EFO_0004340_GCST90446645_EFO_0004340	EFO_0004340	GCST90446645	25583502	397	5	0	0.6776013551265812	0.0	1	650000.0	360.0	0	0.0644289854477612	0.06820373717977342	13.111940298507463	0.5142857142857142	174221.9502487562	-1.581591574495771	8.901646489312695	-0.060696978947110757	52.024875621890544	0.03773584905660377	0.1	0.0367783629748365	0.0144056018272486
27646141_EFO_0004340_GCST90446645_EFO_0004340	EFO_0004340	GCST90446645	27646141	397	5	0	0.3076610992440295	0.0	1	650000.0	399.0	0	0.06364650957711442	-1.6586018415360542	12.962686567164178	-0.2608695652173913	174615.96766169154	-1.0848587001729308	8.973582110857748	0.4558011468180626	51.96268656716418	-0.0594059405940594	0.0	0.0367783629748365	0.0145846630936743
36280733_EFO_0004340_GCST90446645_EFO_0004340	EFO_0004340	GCST90446645	36280733	397	3	1	1.0573037559089633	0.002506265664160401	0	650000.0	87735.0	0	0.063918954925	-1.7711480078249662	13.0	0.0	175110.33	-1.311875464142359	8.914282594907407	0.0874401055697929	51.925	-0.2127659574468085	0.0	0.0367783629748365	0.0143074391160867
31367044_EFO_0004458_GCST002086_EFO_0004458	EFO_0004458	GCST002086	31367044	3	4	1	1.2237337643465291	0.16666666666666666	0	6692.0	17927.0	0	0.04011614	-1.6739770584381974	25.428571428571427	0.24	15199.0	-0.9418388794280542	33.79459483227513	1.6645381867634028	35.42857142857143	-0.5945945945945946	0.1666666666666666	0.0	0.0005937973825373
34662886_EFO_0004458_GCST002086_EFO_0004458	EFO_0004458	GCST002086	34662886	3	4	1	1.521698195086688	0.16666666666666666	0	6692.0	411217.3333333333	0	0.04771833428571428	-1.2059419144463253	25.428571428571427	0.24	56212.42857142857	1.0813307270706374	7.050317034391533	0.5104814562936928	35.42857142857143	-0.5945945945945946	0.3333333333333333	0.0	0.0008472586108784
